Tarefa,Região (PCI),Localidade Específica,Responsável - Sec. / Órgão,Última Atualização,Tipo,Status,Data Inicial (Prog. / Interv.),Data Final (Prog. / Interv.),Possui Dados de Gênero,Possui Dados de Cor/Raça,Possui Dados Etários,Possui Dados de Renda,Possui Dados de Escolaridade,Possui Dados de Programas Sociais,Possui Dados de Estado Civil,Possui Dados de Pessoas Com Deficiência (PCD),Possui Dados Quantitativos de Filhos,Média Atendidos (Mensal),Qtd. Total
Parceria SESC/SENAC,Jacarezinho e Manguinhos,Manguinhos,SESC/SENAC,22/04/2026,Temporária,Concluída,15/01/2022,30/04/2022,Não,Não,Não,Não,Não,Não,Não,Não,Não,,360
Ballet E-Florescer,Corredor Itanhangá / Rio das Pedras,Tijuquinha,E-Florescer,20/04/2026,Contínua,Em execução,01/03/2022,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,25,950
Desenvolve Mulher (2022),Corredor Itanhangá / Rio das Pedras,CIEP Professor Lauro De Oliveira Lima,Secretaria da Mulher (SEM),20/04/2026,Temporária,Concluída,01/03/2022,15/12/2022,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,80,723
Desenvolve Mulher (2022),Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria de Estado de Desenvolvimento Social e Direitos Humanos (SEDSODH),22/04/2026,Temporária,Concluída,01/03/2022,15/12/2022,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,130,1300
Desenvolve Mulher (2022),PPG,Ciep Presidente João Goulart,Secretaria de Estado de Desenvolvimento Social e Direitos Humanos,20/04/2026,Temporária,Concluída,01/03/2022,15/12/2023,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,73,733
Posto da AgeRio,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,"Estado de Desenvolvimento Econômico, Indústria, Comércio e Serviços (SEDEICS)",22/04/2026,Contínua,Aguardando Informação,15/03/2022,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,6000
Afrogames,PPG,Ciep Presidente João Goulart,AfroReggae,20/04/2026,Contínua,Em execução,15/03/2022,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,67,
SAMU  - Atendimento do Posto,Corredor Itanhangá / Rio das Pedras,Itanhangá,SAMU,20/04/2026,Contínua,Em execução,01/04/2022,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,5000
Posto do Detran,Corredor Itanhangá / Rio das Pedras,Itanhangá,Detran,20/04/2026,Contínua,Em execução,01/06/2022,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,357,16780
Passaporte Cultural,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria de Estado de Cultura e Economia Criativa,22/04/2026,Contínua,Em execução,01/06/2022,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,80,2400
Cine Pipoca FUNARJ,PPG,Ciep Presidente João Goulart,Secretaria de Cultura e Economia Criativa (SECEC) ,20/04/2026,Esporádica,Em execução,01/05/2023,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,11424
Fim de Tarde / Funarj Convida (2023),Corredor Itanhangá / Rio das Pedras,Itanhangá,FUNARJ,20/04/2026,Temporária,Concluída,01/06/2023,31/12/2023,Não,Não,Não,Não,Não,Não,Não,Não,Não,97,684
Ambulatório Médico de Especialidades,PPG,Ipanema,Secretaria de Estado de Saúde (SES-RJ),20/04/2026,Contínua,Em execução,03/08/2023,,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,3600,84000
Programa Acolhe,PPG,Ipanema,Secretaria de Estado de Saúde (SES-RJ),20/04/2026,Contínua,Em execução,03/08/2023,,Sim,Retorno Facultativo,Sim,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,Retorno Facultativo,910,30000
Reabilita 60+ - Ed. Física - Corredor Itanhangá,Corredor Itanhangá / Rio das Pedras,Muzema ,Secretaria de Estado de Juventude e Envelhecimento Saudável (SEIJES),20/04/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,300,1850
Reabilita 60+ - Ed. Física - Rio das Pedras,Corredor Itanhangá / Rio das Pedras,CIEP Professor Lauro De Oliveira Lima,Secretaria de Estado de Juventude e Envelhecimento Saudável (SEIJES),12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,203,1080
Reabilita 60+ - Fisioterapia - Corredor Itanhangá,Corredor Itanhangá / Rio das Pedras,Muzema ,Secretaria de Estado de Juventude e Envelhecimento Saudável (SEIJES),12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,100,800
