Tarefa,Região (PCI),Localidade Específica,Responsável - Sec. / Órgão,Última Atualização,Tipo,Status,Data Inicial (Prog. / Interv.),Data Final (Prog. / Interv.),Sub-Eixo,Investimento Previsto (R$),Investimento Realizado (R$),Qtd. Total
Drenagem e Macrodrenagem do Canal da Muzema,Corredor Itanhangá / Rio das Pedras,Muzema,SEAS / INEA,12/05/2026,Obras,Em execução,15/02/2022,,Saneamento,14500000.0,11200000.0,18000.0
Contenção de Encostas na localidade Pavãozinho,PPG,Cantagalo-Pavão-Pavãozinho,SEINFRA / GEO-RIO,10/05/2026,Obras,Concluída,10/03/2022,15/12/2023,Segurança/Defesa Civil,8400000.0,8350000.0,5500.0
Reforma e Cobertura da Quadra do CIEP João Goulart,PPG,Ciep Presidente João Goulart,SEEDUC,12/05/2026,Obras,Concluída,01/06/2023,15/01/2024,Espaços Públicos,1200000.0,1180000.0,1200.0
Asfalto de Qualidade e Saneamento Integrado no Jacarezinho,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,SEINFRA / CEDAE,22/04/2026,Obras,Em execução,20/01/2022,,Saneamento,28400000.0,21300000.0,35000.0
Iluminação Pública LED nas Vias Principais,Jacarezinho e Manguinhos,Manguinhos,SEINFRA,15/04/2026,Serviço de Engenharia,Concluída,01/04/2022,30/10/2022,Infraestrutura,3200000.0,3200000.0,22000.0
Regularização Fundiária e Habitação Popular (Casa da Gente),Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,SEHAB,22/04/2026,Regularização,Em execução,15/05/2022,,Habitação,19500000.0,12800000.0,2400.0
Construção do Centro de Referência da Juventude (CRJ),PPG,Ciep Presidente João Goulart,SEINFRA / SEIJES,12/05/2026,Obras,Concluída,01/02/2023,01/10/2023,Espaços Públicos,4500000.0,4700000.0,8000.0
Reforma Geral do CIEP Professor Lauro De Oliveira Lima,Corredor Itanhangá / Rio das Pedras,CIEP Professor Lauro De Oliveira Lima,SEEDUC,20/04/2026,Obras,Concluída,15/08/2022,20/12/2023,Espaços Públicos,2300000.0,2250000.0,1800.0
Saneamento e Redes de Esgoto no Corredor Itanhangá,Corredor Itanhangá / Rio das Pedras,Itanhangá,CEDAE / SEAS,20/04/2026,Obras,Em execução,10/01/2023,,Saneamento,18900000.0,11400000.0,25000.0
Instalação de Elevador/Plano Inclinado para Acessibilidade,PPG,Cantagalo-Pavão-Pavãozinho,SEINFRA,12/05/2026,Obras,Bloqueada,15/03/2023,,Mobilidade,6800000.0,1500000.0,12000.0
Reforma da Unidade Básica de Saúde / Ambulatório,PPG,Ipanema,SES-RJ,20/04/2026,Obras,Concluída,15/04/2023,03/08/2023,Espaços Públicos,1500000.0,1490000.0,84000.0
Implantação de Posto Detran & Serviços Públicos,Corredor Itanhangá / Rio das Pedras,Itanhangá,DETRAN / SEGOV,20/04/2026,Obras,Concluída,15/02/2022,01/06/2022,Espaços Públicos,850000.0,850000.0,16780.0
Pavimentação e Drenagem em Rio das Pedras (Tijuquinha),Corredor Itanhangá / Rio das Pedras,Tijuquinha,SEINFRA,20/04/2026,Obras,Em execução,01/09/2023,,Infraestrutura,9200000.0,5100000.0,9500.0
Regularização de Calçamento e Iluminação - Muzema,Corredor Itanhangá / Rio das Pedras,Muzema,SEINFRA,12/05/2026,Obras,Em execução,01/10/2023,,Infraestrutura,5400000.0,2800000.0,8500.0
Construção de Quadra Poliesportiva e Espaço de Lazer,Jacarezinho e Manguinhos,Manguinhos,SEINFRA / SEEL-RJ,22/04/2026,Obras,Concluída,15/01/2022,30/04/2022,Espaços Públicos,950000.0,950000.0,3600.0
Reconstrução de Encostas PPG - Lado Ipanema,PPG,Cantagalo-Pavão-Pavãozinho,SEINFRA / GEO-RIO,12/05/2026,Obras,Aguardando Informação,,,Segurança/Defesa Civil,5000000.0,0.0,4000.0
Limpeza e Desassoreamento do Rio Jacaré,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,SEAS / INEA,22/04/2026,Serviço de Engenharia,Em execução,10/03/2023,,Saneamento,8200000.0,4600000.0,40000.0
Implantação de Coletora de Resíduos Sólidos,Jacarezinho e Manguinhos,Manguinhos,SEAS,12/05/2026,Obras,Em execução,01/10/2023,,Saneamento,1800000.0,1100000.0,15000.0
Reforma do CIEP Professor Lauro De Oliveira Lima,Corredor Itanhangá / Rio das Pedras,CIEP Professor Lauro De Oliveira Lima,SEEDUC,12/05/2026,Obras,Concluída,01/10/2023,15/12/2023,Espaços Públicos,650000.0,604000.0,1200.0
Melhorias de Acessibilidade no Acesso Cantagalo,PPG,Cantagalo-Pavão-Pavãozinho,SEINFRA,12/05/2026,Obras,Em execução,01/10/2023,,Mobilidade,1200000.0,400000.0,15000.0
